state_range,reward
60800-500,-10.0
60850-500,-10.0
60900-500,-10.0
60950-500,-10.0
61000-500,-10.0
61050-500,-10.0
61100-500,-10.0
61150-500,-10.0
61200-500,-10.0
61250-500,-10.0
61300-500,-10.0
61350-500,-10.0
61400-500,-10.0
61450-500,-10.0
61500-500,-10.0
61550-500,-10.0
61600-500,-10.0
61650-500,-10.0
61700-500,-10.0
61750-500,-10.0
61800-500,-10.0
61850-500,-10.0
61900-500,-10.0
61950-500,-10.0
62000-500,-10.0
62050-500,-10.0
62100-500,-10.0
62150-500,-10.0
62200-500,-10.0
62250-500,-10.0
62300-500,-10.0
62350-500,-10.0
62400-500,-10.0
62450-500,-10.0
62500-500,-10.0
62550-500,-10.0
62600-500,-10.0
62650-500,-10.0
62700-500,-10.0
62750-500,-10.0
62800-500,-10.0
62850-500,-10.0
62900-500,-10.0
62950-500,-10.0
63000-500,-10.0
63050-500,-10.0
63100-500,-10.0
63150-500,-10.0
63200-500,-10.0
63250-500,-10.0
63300-500,-10.0
63350-500,-10.0
63400-500,-10.0
63450-500,-10.0
63500-500,-10.0
63550-500,-10.0
63600-500,-10.0
63650-500,-10.0
63700-500,-10.0
63750-500,-10.0
63800-500,-10.0
63850-500,-10.0
63900-500,-10.0
63950-500,-10.0
64000-500,-10.0
64050-500,-10.0
64100-500,-10.0
64150-500,-10.0
64200-500,-10.0
64250-500,-10.0
64300-500,-10.0
64350-500,-10.0
64400-500,-10.0
64450-500,-10.0
64500-500,-10.0
64550-500,-10.0
64600-500,-10.0
64650-500,-10.0
64700-500,-10.0
64750-500,-10.0
64800-500,-10.0
64850-500,-10.0
64900-500,-10.0
64950-500,-10.0
65000-500,-10.0
65050-500,-10.0
65100-500,-10.0
65150-500,-10.0
65200-500,-10.0
65250-500,-10.0
65300-500,-10.0
65350-500,-10.0
65400-500,-10.0
65450-500,-10.0
65500-500,-10.0
65550-500,-10.0
65600-500,-10.0
65650-500,-10.0
65700-500,-10.0
65750-500,-10.0
65800-500,-10.0
65850-500,-10.0
65900-500,-10.0
65950-500,-10.0
66000-500,-10.0
66050-500,-10.0
66100-500,-10.0
66150-500,-10.0
66200-500,-10.0
66250-500,-10.0
66300-500,-10.0
66350-500,-10.0
66400-500,-10.0
66450-500,-10.0
66500-500,-10.0
66550-500,-10.0
66600-500,-10.0
66650-500,-10.0
66700-500,-10.0
66750-500,-10.0
66800-500,-10.0
66850-500,-10.0
66900-500,-10.0
66950-500,-10.0
67000-500,-10.0
67050-500,-10.0
67100-500,-10.0
67150-500,-10.0
67200-500,-10.0
67250-500,-10.0
67300-500,-10.0
67350-500,-10.0
67400-500,-10.0
67450-500,-10.0
67500-500,-10.0
67550-500,-10.0
67600-500,-10.0
67650-500,-10.0
67700-500,-10.0
67750-500,-10.0
67800-500,-10.0
67850-500,-10.0
67900-500,-10.0
67950-500,-10.0
68000-500,-10.0
68050-500,-10.0
68100-500,-10.0
68150-500,-10.0
68200-500,-10.0
68250-500,-10.0
68300-500,-10.0
68350-500,-10.0
68400-500,-10.0
68450-500,-10.0
68500-500,-10.0
68550-500,-10.0
68600-500,-10.0
68650-500,-10.0
68700-500,-10.0
68750-500,-10.0
68800-500,-10.0
68850-500,-10.0
68900-500,-10.0
68950-500,-10.0
69000-500,-10.0
69050-500,-10.0
69100-500,-10.0
69150-500,-10.0
69200-500,-10.0
69250-500,-10.0
69300-500,-10.0
69350-500,-10.0
69400-500,-10.0
69450-500,-10.0
69500-500,-10.0
69550-500,-10.0
69600-500,-10.0
69650-500,-10.0
